x,a,b,c,d,index_value
869,132,130,31,148,260
870,131,129,28,147,268
871,131,131,28,147,282
872,131,133,30,147,290
873,132,134,32,148,298
874,132,136,33,149,302
875,132,138,35,150,305
876,132,138,36,150,303
877,132,138,37,150,301
878,132,138,36,150,302
879,133,139,36,150,304
881,134,140,36,152,311
882,134,141,36,153,311
883,134,142,37,154,312
884,135,142,37,154,314
885,135,143,37,155,317
886,136,145,37,156,320
887,136,147,39,158,328
888,137,148,41,159,329
889,137,148,42,160,324
890,137,147,42,161,317
891,137,146,41,161,312
892,137,146,40,161,313
893,137,146,40,161,315
894,137,147,39,161,320
895,137,147,39,162,321
896,138,147,39,162,321
897,138,148,39,163,321
898,138,149,38,163,321
899,137,151,38,162,321
900,137,151,40,162,323
901,137,151,41,162,324
902,137,151,41,162,323
903,137,152,40,162,323
904,138,152,40,163,324
905,138,152,40,163,325
906,138,152,40,163,327
907,138,153,40,164,328
908,139,154,41,165,331
909,140,155,42,165,334
910,140,155,44,167,337
911,141,156,45,168,341
912,141,158,45,169,342
913,141,159,46,170,341
914,142,160,47,171,340
915,142,160,48,171,340
916,142,160,48,172,340
917,142,160,48,173,339
918,142,159,47,174,338
919,142,159,47,173,335
920,142,158,46,173,336
921,142,158,44,173,337
922,142,158,44,173,337
923,142,158,44,173,337
924,143,158,44,174,336
925,143,159,43,174,336
926,143,159,43,175,337
927,143,159,43,175,337
928,143,159,43,175,337
929,143,159,43,175,336
930,143,159,42,176,336
931,143,159,42,176,336
932,143,159,42,176,336
933,144,159,42,176,336
934,144,159,42,177,337
935,144,160,41,178,338
936,144,161,41,178,340
937,144,161,42,178,342
938,145,162,42,179,346
939,146,164,41,179,347
940,146,166,43,181,350
941,147,168,44,182,355
942,149,171,47,184,357
943,150,173,52,186,363
944,151,175,53,191,365
945,152,177,55,193,366
946,153,178,56,195,369
947,153,178,57,197,367
948,155,178,56,199,366
949,155,178,56,200,362
950,155,177,56,202,361
951,155,177,56,204,358
952,155,175,54,204,351
953,155,174,49,203,343
954,154,173,47,201,339
955,154,173,47,201,338
956,153,173,47,201,339
957,153,173,43,201,338
958,153,172,42,201,337
959,153,171,41,201,336
960,153,170,40,201,337
961,154,170,39,201,338
963,154,170,39,202,346
964,154,171,40,202,348
965,154,171,40,202,348
966,153,171,46,201,346
967,154,171,48,201,344
968,154,171,48,201,342
969,154,171,48,202,340
970,154,172,48,202,346
971,155,173,53,202,351
972,155,175,57,204,356
973,156,176,58,205,359
974,156,177,61,207,356
975,156,177,62,208,356
977,156,176,62,208,354
978,156,176,61,208,355
979,156,176,60,208,350
980,156,176,54,207,347
981,156,175,54,207,341
982,155,174,53,207,336
983,155,173,52,207,334
984,155,172,51,207,336
985,155,171,51,207,337
986,155,172,50,207,338
987,155,172,50,207,338
988,155,172,51,207,338
989,155,171,51,207,339
990,155,171,51,207,337
991,156,171,51,207,337
992,156,171,51,208,332
993,156,170,51,208,333
994,156,171,51,208,334
995,156,171,51,208,336
996,156,172,52,209,337
997,156,172,53,209,335
998,156,171,53,208,331
999,156,170,53,207,325
1000,155,169,51,206,321
1001,155,168,51,206,320
1002,154,167,51,206,319
1003,154,167,52,205,318
1004,154,167,52,205,313
1005,154,166,51,205,312
1006,154,166,51,205,310
1007,154,167,52,205,310
1008,154,168,53,205,312
1009,154,169,54,206,314
1010,154,170,54,206,316
1011,154,170,56,206,316
1012,154,170,57,207,315
1014,154,170,57,206,316
1016,154,172,57,206,315
1017,154,173,59,206,317
1018,154,173,62,206,316
1019,154,173,62,206,315
1020,154,174,62,206,316
1021,154,175,62,206,319
1022,154,176,64,207,320
1023,154,177,66,207,321
1024,154,178,67,207,323
1025,155,179,69,207,323
1026,155,180,71,208,326
1027,155,181,71,209,326
1028,155,181,73,209,325
1029,155,182,73,209,323
1030,155,182,74,210,323
1031,155,182,75,210,322
1032,156,183,75,210,321
1033,156,185,76,211,325
1034,157,187,77,211,329
1035,157,188,80,212,333
1036,157,189,83,214,333
1037,158,190,83,215,332
1038,158,190,86,216,335
1039,159,191,87,217,337
1040,159,193,88,218,340
1041,159,194,90,219,341
1042,159,194,93,219,342
1043,159,195,93,219,342
1044,159,196,92,220,344
1045,159,197,92,220,343
1046,160,198,95,221,342
1047,160,199,97,221,342
1048,160,200,98,222,343
1049,160,201,100,223,344
1050,160,202,103,223,346
1051,161,204,103,223,349
1052,161,206,106,224,350
1053,161,207,110,225,351
1054,162,208,112,226,350
1055,162,209,113,227,349
1056,162,210,116,228,347
1057,162,210,117,228,347
1058,162,210,118,228,346
1059,162,210,120,228,346
1060,162,213,121,229,346
1061,162,214,122,229,346
1062,162,216,127,230,345
1063,162,217,130,231,344
1064,162,219,131,231,347
1065,162,220,134,231,349
1066,162,222,137,231,352
1067,164,225,140,233,353
1068,164,227,143,234,355
1069,165,229,147,235,353
1070,165,229,151,237,353
1071,165,230,154,238,353
1072,164,231,156,236,355
1073,164,234,159,235,355
1074,163,235,163,235,355
1075,163,235,165,235,352
1076,162,234,162,235,352
1077,162,234,157,235,352
1078,162,232,155,235,352
1079,163,232,151,235,352
1080,163,231,149,235,352
1081,163,231,147,235,352
1082,162,230,145,235,352
1083,162,228,142,235,352
1084,162,226,141,235,352
1085,162,224,134,236,352
