x,a,b,c,d,index_value
1054,206,117,147,95,101
1055,206,119,150,92,97
1056,205,120,150,91,92
1057,205,122,152,90,91
1058,205,123,156,88,91
1059,205,125,160,85,93
1060,205,128,158,83,90
1061,204,130,163,83,93
1062,204,132,169,80,95
1064,204,138,177,81,96
1065,203,144,181,78,98
1066,203,146,188,76,98
1067,203,150,197,75,99
1068,202,153,203,70,99
1069,201,156,200,69,98
1070,201,159,205,65,91
1071,201,163,215,60,84
1072,201,165,226,59,75
1073,201,164,230,59,74
1074,200,162,214,56,66
1075,200,159,205,55,66
1076,200,157,196,55,66
1077,200,154,188,55,66
1078,200,152,178,55,66
1079,200,150,165,55,66
1080,200,148,159,55,66
1081,200,146,153,55,66
1082,200,144,147,55,66
1083,200,140,141,55,66
1084,200,137,134,55,66
1085,200,133,121,55,66
